Date,Open,High,Low,Close,Volume
2025-01-17,86.34,86.34,84.58,84.74,2855424
2025-01-21,85.14,87.62,84.64,87.34,2861947
2025-01-22,87.22,88.27,86.7534,87.33,2381219
2025-01-23,87.33,88.67,86.86,88.16,1697227
2025-01-24,87.51,88.78,87.02,88.67,2008570
2025-01-27,88.88,89.69,88.17,88.99,2376805
2025-01-28,88.75,89.32,87.7,87.78,2407150
2025-01-29,87.79,88.61,87.54,87.85,1336221
2025-01-30,88.55,89.75,88.41,89.55,1618662
2025-01-31,89.13,89.8,88.22,88.3,1775510
2025-02-03,87.41,88.49,86.36,87.51,2142309
2025-02-04,87.69,88.03,86.76,86.93,2488865
2025-02-05,87.01,87.79,86.3,87.17,2347101
2025-02-06,87.51,90.74,87.365,88.55,3253030
2025-02-07,88.8,89.36,87.4977,87.64,1671463
2025-02-10,88,88.28,86.865,87.5,2036600
2025-02-11,86.81,87.98,86.735,87.03,2392505
2025-02-12,85.94,86.67,85.5,85.9,3656327
2025-02-13,90,94.8,89.64,93.48,7832685
2025-02-14,93.2,93.2099,91.18,92.21,3946666
2025-02-18,92.25,93.26,92.125,92.67,3262773
2025-02-19,92.28,93.15,91.6,92.52,3284264
2025-02-20,92.33,93.14,91.54,92.09,2341300
2025-02-21,91.54,91.74,90.43,91.09,2854719
2025-02-24,90.64,91.7,90.3712,90.53,2768971
2025-02-25,91.09,91.39,90.01,90.81,2310907
2025-02-26,90.37,91.65,90.155,90.71,1846613
2025-02-27,90.11,92.1979,89.28,89.4,3926344
2025-02-28,89.96,90.26,85.89,87.35,4214630
2025-03-03,87.49,88.98,86.29,86.45,3556277
2025-03-04,86.62,86.62,82.71,84.31,3998859
2025-03-05,84,85.4877,83.79,84.76,3111468
2025-03-06,84,85.87,83.62,85.41,3946082
2025-03-07,85.5,86.94,84.7,86.58,4076651
2025-03-10,85.775,87.34,84.87,85.36,3552111
2025-03-11,87.34,89.23,84.9404,85.59,4276812
2025-03-12,85.72,86.0899,83.755,83.79,2819704
2025-03-13,83.64,84.12,81.16,81.45,3605718
2025-03-14,82.15,82.33,80.4011,81.97,5207272
2025-03-17,81.84,82.895,81.62,82.47,2526776
2025-03-18,82.16,82.38,81.23,82.14,2900010
2025-03-19,81.88,82.6248,81.78,82.4,3124321
2025-03-20,82.05,82.68,81.55,81.81,2731279
2025-03-21,81.15,81.83,80.15,81.49,4304576
2025-03-24,82.15,82.79,81.48,81.7,4453606
2025-03-25,81.96,82.89,81.48,82.46,3730293
2025-03-26,82.4,82.8598,80.485,81,2859425
2025-03-27,81.39,82.8,81.17,81.66,3074578
2025-03-28,81.42,81.7877,79.785,80.01,3189843
2025-03-31,79.7,81.01,79.2,80.71,4151235
2025-04-01,80.37,80.84,79.33,79.57,2996524
2025-04-02,78.78,79.88,78.7,79.36,2806093
2025-04-03,76.535,76.59,70.45,72,9331363
2025-04-04,63.36,63.7965,58.04,60.51,16890636
2025-04-07,60.53,63.745,58.855,60.99,9299615
2025-04-08,63.19,64.43,58.05,58.75,7418872
2025-04-09,57.7,65.53,57.65,64.98,8488475
2025-04-10,63.69,64.2,59.6973,62.28,7636324
2025-04-11,62.34,63.5966,60.859,62.81,7221455
2025-04-14,63.92,64.785,63.24,64.39,4896309
2025-04-15,64.5,64.8,62.66,63.1,5405796
2025-04-16,63.1,63.695,60.7,61.48,6207059
2025-04-17,61.99,62.84,61.7,62.37,4473983
2025-04-21,61.73,61.805,59.95,60.48,5755164
2025-04-22,61.59,62.34,60.75,61.65,4508835
2025-04-23,64.5,67.08,64.275,64.89,6292782
2025-04-24,65.04,67.39,64.77,67.08,6555822
2025-04-25,69,70.82,67.93,68.42,5508673
2025-04-28,68.33,68.8,67.28,68.07,3896577
2025-04-29,67.88,68.54,67.11,68.09,5692078
2025-04-30,72.5,72.6,69.84,70.33,12759271
2025-05-01,70.32,70.92,67.63,67.67,8115286
2025-05-02,69.9,71.21,69.37,70.53,7209670
2025-05-05,69.93,70.59,69.19,69.37,5927749
2025-05-06,68.48,68.98,67.07,67.09,5677386
2025-05-07,67.475,69.3096,66.95,68.82,5304868
2025-05-08,69.49,71.4,69.11,70.5,6022322
2025-05-09,70.75,71.81,69.79,69.87,5724417
2025-05-12,76.95,77.75,73.51,74.11,8031240
2025-05-13,74.35,75.69,73.67,73.83,4750991
2025-05-14,73.51,73.945,72.72,72.84,3849434
2025-05-15,72.28,73.06,71.555,72.91,3448298
2025-05-16,72.91,73.23,72.045,73.13,3309522
2025-05-19,72.24,73.29,71.88,73.1,2418453
2025-05-20,72.6,73,71.79,71.85,3268425
2025-05-21,71.42,71.49,69.41,69.58,3226105
2025-05-22,69.41,70.115,68.2234,69.44,2835362
2025-05-23,68.5,69.36,68.44,69.16,2486599
2025-05-27,70.38,71.39,69.77,71.01,3183866
2025-05-28,71.01,71.45,70.5,71.15,2448580
2025-05-29,71.8,72,70.78,71.53,2807782
2025-05-30,71.34,71.34,69.59,70.54,7095548
2025-06-02,70.43,70.45,69.86,70.15,2396311
2025-06-03,70,71.3,69.31,71.16,2445581
2025-06-04,71.35,71.55,70.93,71.13,1672626
2025-06-05,71.31,71.98,70.85,71.55,1898969
2025-06-06,72.02,72.45,70.88,71.62,2152751
2025-06-09,71.85,72.99,71.475,71.67,2075849
2025-06-10,71.89,74.12,71.76,73.92,4533531
2025-06-11,74.005,74.16,72.84,73.4,3051844
2025-06-12,73.21,73.795,72.33,73.11,3574773
2025-06-13,72.19,72.79,71.91,72.25,2977136
2025-06-16,72.35,73.12,71.68,72.86,3047048
2025-06-17,72.37,72.71,70.895,71.14,2918125
2025-06-18,71.25,72.17,70.99,71.89,3496326
2025-06-20,72.6,72.61,71.215,71.28,6306613
2025-06-23,71.28,71.385,69.49,71.16,3142371
2025-06-24,71.58,72.29,71.41,71.98,8746751
2025-06-25,72.01,72.85,71.1,72.75,5681068
2025-06-26,73,75.29,72.92,74.86,5091867
2025-06-27,75.2,75.57,74.08,74.38,6817105
2025-06-30,74,74.58,73.572,74.07,2952426
2025-07-01,73.82,76.825,73.6101,75.95,3298682
2025-07-02,75.78,76.16,75.36,76.12,2526079
2025-07-03,76.18,76.53,75.69,76.07,1800530
2025-07-07,75.61,76.49,74.38,74.61,3528598
2025-07-08,74.66,76.68,74.5,75.2,3522523
2025-07-09,75.85,76.11,74.88,75.51,2574322
2025-07-10,75.51,77.32,75.13,76.5,2739156
2025-07-11,75.67,75.8618,74.94,75.13,1897906
2025-07-14,74.81,74.875,73.88,74.45,2236813
2025-07-15,74.79,74.93,73.66,74.39,4637462
2025-07-16,74.44,76.21,74.2,75.45,6398549
2025-07-17,75.29,76.58,74.81,76.24,3968288
2025-07-18,76.84,76.855,75.45,75.96,3383686
2025-07-21,75.72,75.8999,74.095,74.16,3902782
2025-07-22,74.16,76.78,74.11,76.49,4674259
2025-07-23,77.6,77.8,76.7,77.25,2337068
2025-07-24,77,77.855,76.315,76.77,2392686
2025-07-25,76.76,77.83,75.97,77.61,3132745
2025-07-28,77.37,78.77,76.9808,77.74,3950871
2025-07-29,78.21,78.7,77.44,77.72,4524015
2025-07-30,73.35,73.925,70.32,71.64,12909970
2025-07-31,72.34,73.01,71.11,71.32,6427655
2025-08-01,70.39,70.9,69.09,69.85,5128445
2025-08-04,70.41,70.975,69.91,70.64,3251670
2025-08-05,70.99,71.54,70.51,70.74,3726178
2025-08-06,70.94,71.03,69.58,69.96,5171041
2025-08-07,70.85,71.53,70.01,71.1,4234119
2025-08-08,71.2,72.085,71.01,72,3025116
2025-08-11,72.04,73.34,71.92,73,4130158
2025-08-12,73.23,74.61,73.0493,74.41,2489201
2025-08-13,74.41,75.44,74.315,75.33,3067975
2025-08-14,74.92,75.12,73.25,73.66,3122883
2025-08-15,74.01,74.52,73.06,73.4,2926993
2025-08-18,73.36,73.78,72.71,73.17,2292503
2025-08-19,72.92,74.045,72.7,73.97,2949907
2025-08-20,74.05,74.39,73.62,73.87,2157043
2025-08-21,73.5,74.0641,72.97,73.15,2575912
2025-08-22,73.85,75.555,73.695,75.22,3666577
2025-08-25,74.97,75.11,73.9975,74.59,2022025
2025-08-26,74.58,74.9085,73.76,74.09,1845956
2025-08-27,73.77,74.48,73.72,74.26,2113031
2025-08-28,74.425,74.5,73.22,73.72,2511989
2025-08-29,73.68,74.15,73.2,73.73,1983083
2025-09-02,72.97,73.31,71.14,71.6,4045635
2025-09-03,71.915,72.66,71.63,72.38,3882870
2025-09-04,72.48,74.14,71.56,74.12,2217209
2025-09-05,74.25,75.75,74.21,75.73,3010746
2025-09-08,76.14,78.43,74.99,78.16,6251185
2025-09-09,77.94,78.89,77.41,78.71,3997907
2025-09-10,78.71,79.69,75.65,75.99,4250769
2025-09-11,75.94,78.4,75.64,77.96,4357972
2025-09-12,77.47,77.635,76.38,76.44,3254165
2025-09-15,76.58,78.24,76.5,77.76,3196678
2025-09-16,78.32,78.5,77.31,77.48,3384555
2025-09-17,77.5,78.68,76.11,76.63,2925422
2025-09-18,76.99,77.05,73.75,74,3841573
2025-09-19,74.46,75.54,74.39,74.91,6294213
2025-09-22,74.61,75.07,73.775,74.77,3156325
2025-09-23,74.63,75.44,74.47,74.6,3143232
2025-09-24,74.71,75.04,73.67,73.98,2320480
2025-09-25,72.9,72.9,69.785,71.5,5017067
2025-09-26,72.23,72.99,71.72,72.46,2679239
2025-09-29,73,73.645,72.44,73.09,2914590
2025-09-30,72.8,75.27,72.71,75.1,4089690
2025-10-01,74.96,76.5,74.21,75.51,3579455
2025-10-02,75.1,76.85,74.61,76.82,2517223
2025-10-03,77.16,77.95,76.43,76.56,2696434
2025-10-06,76.66,76.7,75.88,76.41,1677062
2025-10-07,75.13,75.49,74.2,74.49,2808400
2025-10-08,74.43,75.18,73.81,75.13,2478228
2025-10-09,74.88,75.2862,73.79,74.22,1825336
2025-10-10,74.0111,74.54,70.03,71.01,7015446
2025-10-13,72.02,72.83,71.7,71.84,2693865
2025-10-14,71.17,73.1,70.98,72.34,2783795
2025-10-15,72.89,73.94,72.26,73.22,3432901
2025-10-16,73.89,74.235,72.755,73.38,1766938
2025-10-17,73,74.2,72.65,74.05,2049478
2025-10-20,74.35,75.9125,74.06,75.48,2051117
2025-10-21,75.25,76.55,75.18,76.1,1644454
2025-10-22,76.02,77.14,75.7,76.14,2547671
2025-10-23,76.32,77.4,75.88,77.26,2235458
2025-10-24,77.58,78.33,77.14,78.14,2600338
2025-10-27,78.62,79.15,78.28,78.35,4093567
2025-10-28,78.12,79.75,77.68,79.4,5876964
2025-10-29,76.74,78.385,73.73,77.38,8765313
2025-10-30,77.38,77.38,73.95,75,3474822
2025-10-31,74.64,75.19,73.52,74.95,3275729
2025-11-03,74.83,75.87,73.63846,74.47,4442860
2025-11-04,74.41,75.49,73.9,74.3,2489672
2025-11-05,74.21,76.81,73.31,75.61,3732200
2025-11-06,75.46,76.36,74.0201,74.17,2554435
2025-11-07,73.6,74.14,72.695,73.05,4401417
2025-11-10,73.47,74,72.21,73.48,4400795
2025-11-11,73.5,74.39,72.82,73.41,3673014
2025-11-12,73.7,75.5,73.29,74.98,3034634
2025-11-13,74.34,75.59,73.92,73.97,2708297
2025-11-14,73.71,74.025,72.5,73.15,4407251
2025-11-17,72.57,73,70.29,70.63,4806069
2025-11-18,70.48,71.51,70.035,71.02,3371458
2025-11-19,71.24,72.34,70.89,72.31,4219253
2025-11-20,73.13,75.35,73.04,74.75,8322431
2025-11-21,74.89,77.095,73.35,76.45,8388815
2025-11-24,76.505,79.02,76.505,78.24,7118842
2025-11-25,78.24,81.94,78.15,79.96,5949664
2025-11-26,80.07,81.27,79.705,80.63,3091569
2025-11-28,80.65,80.69,79.63,79.99,1353331
2025-12-01,79.35,80.2899,79,79.24,2541151
2025-12-02,79.72,80.73,79.35,80.22,2367919
2025-12-03,80.21,84.11,80.1,83.59,5253942
2025-12-04,82.93,83.7,81.5501,82.52,3321365
2025-12-05,82.91,85.56,82.54,85.46,4439631
2025-12-08,85.4,85.89,82.4738,83.09,4234056
2025-12-09,83.14,83.64,82.69,83.03,2749562
2025-12-10,82.675,84.87,82.51,84.47,2562186
2025-12-11,84.47,86.19,84.135,86.05,3479021
2025-12-12,86,86,83.56,83.96,2386990
2025-12-15,84.81,85.06,83.61,84.45,3566542
2025-12-16,84.45,84.5,81.74,82.25,3207430
2025-12-17,82.2,83.56,82.11,82.38,3100823
2025-12-18,82.81,83.48,82.24,82.52,2095266
2025-12-19,82.995,83.64,82.3,82.89,6437673
2025-12-22,83.4,84.18,83.05,83.94,2237987
2025-12-23,83.81,84.01,83.165,83.32,2117054
2025-12-24,83.43,83.835,83.1,83.39,806993
2025-12-26,83.55,83.985,83.27,83.61,1462553
2025-12-29,83.57,84.07,82.92,83.15,1383368
2025-12-30,83,83.59,82.9,83.33,1510777
2025-12-31,83.07,83.17,81.94,82.02,1578157
